location_id,sensor_id,parameter,display_name,value,unit,datetime_from,datetime_to,_ingested_at
783927,7300779,o3,O₃ mass,87.7,µg/m³,2026-04-13 10:00:00+00:00,2026-04-13 11:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,92.2,µg/m³,2026-04-13 11:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,92.5,µg/m³,2026-04-13 12:00:00+00:00,2026-04-13 13:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,94.4,µg/m³,2026-04-13 13:00:00+00:00,2026-04-13 14:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,91.2,µg/m³,2026-04-13 14:00:00+00:00,2026-04-13 15:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,93.1,µg/m³,2026-04-13 15:00:00+00:00,2026-04-13 16:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,93.8,µg/m³,2026-04-13 16:00:00+00:00,2026-04-13 17:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,91.8,µg/m³,2026-04-13 17:00:00+00:00,2026-04-13 18:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,90.3,µg/m³,2026-04-13 18:00:00+00:00,2026-04-13 19:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,87.0,µg/m³,2026-04-13 19:00:00+00:00,2026-04-13 20:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,86.4,µg/m³,2026-04-13 20:00:00+00:00,2026-04-13 21:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,82.5,µg/m³,2026-04-13 21:00:00+00:00,2026-04-13 22:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,7300779,o3,O₃ mass,83.5,µg/m³,2026-04-13 22:00:00+00:00,2026-04-13 23:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,15.0,µg/m³,2026-04-13 00:00:00+00:00,2026-04-13 01:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,15.0,µg/m³,2026-04-13 01:00:00+00:00,2026-04-13 02:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,15.0,µg/m³,2026-04-13 02:00:00+00:00,2026-04-13 03:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,16.0,µg/m³,2026-04-13 03:00:00+00:00,2026-04-13 04:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,18.0,µg/m³,2026-04-13 04:00:00+00:00,2026-04-13 05:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,20.0,µg/m³,2026-04-13 05:00:00+00:00,2026-04-13 06:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,22.0,µg/m³,2026-04-13 06:00:00+00:00,2026-04-13 07:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,19.0,µg/m³,2026-04-13 07:00:00+00:00,2026-04-13 08:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,17.0,µg/m³,2026-04-13 08:00:00+00:00,2026-04-13 09:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,18.0,µg/m³,2026-04-13 09:00:00+00:00,2026-04-13 10:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,19.0,µg/m³,2026-04-13 10:00:00+00:00,2026-04-13 11:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,20.0,µg/m³,2026-04-13 11:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,17.0,µg/m³,2026-04-13 12:00:00+00:00,2026-04-13 13:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,17.0,µg/m³,2026-04-13 13:00:00+00:00,2026-04-13 14:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,17.0,µg/m³,2026-04-13 14:00:00+00:00,2026-04-13 15:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,19.0,µg/m³,2026-04-13 15:00:00+00:00,2026-04-13 16:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,21.0,µg/m³,2026-04-13 16:00:00+00:00,2026-04-13 17:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,20.0,µg/m³,2026-04-13 17:00:00+00:00,2026-04-13 18:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,17.0,µg/m³,2026-04-13 18:00:00+00:00,2026-04-13 19:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,18.0,µg/m³,2026-04-13 19:00:00+00:00,2026-04-13 20:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,16.0,µg/m³,2026-04-13 20:00:00+00:00,2026-04-13 21:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,15.0,µg/m³,2026-04-13 21:00:00+00:00,2026-04-13 22:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272802,pm10,PM10,15.0,µg/m³,2026-04-13 22:00:00+00:00,2026-04-13 23:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,12.0,µg/m³,2026-04-13 00:00:00+00:00,2026-04-13 01:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,13.0,µg/m³,2026-04-13 01:00:00+00:00,2026-04-13 02:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,13.0,µg/m³,2026-04-13 02:00:00+00:00,2026-04-13 03:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,13.0,µg/m³,2026-04-13 03:00:00+00:00,2026-04-13 04:00:00+00:00,2026-04-14 22:41:18.013651+00:00
